<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTCUSD;D;20131227;000000;757.6527200;769.0050000;714.1472100;731.8646600;33
BTCUSD;D;20131228;000000;734.4351800;745.2000000;715.5260100;719.0000000;8
BTCUSD;D;20131229;000000;732.2393500;744.3165700;715.0000000;733.0451000;6
BTCUSD;D;20131230;000000;742.6712400;751.0000000;731.8561200;749.0000000;9
BTCUSD;D;20131231;000000;749.0000000;750.0000000;730.0000000;739.7311400;8
BTCUSD;D;20140101;000000;737.1511500;759.1104000;737.1511500;753.9900000;10
BTCUSD;D;20140102;000000;750.1158300;817.5614900;750.0000000;788.3042100;20
BTCUSD;D;20140103;000000;784.6860600;819.9000000;771.1779500;808.5177800;76
BTCUSD;D;20140104;000000;808.4269400;840.0000000;783.0200000;827.6478400;33
BTCUSD;D;20140105;000000;828.6900000;980.0000000;827.4135000;904.7500000;55
BTCUSD;D;20140106;000000;908.2499900;1019.0000000;886.4397300;919.1117600;75
BTCUSD;D;20140107;000000;916.8197200;945.0000000;810.0000000;810.0000000;49
BTCUSD;D;20140108;000000;810.0000000;899.8428100;788.0000000;824.9828700;19
BTCUSD;D;20140109;000000;825.5634500;870.0000000;807.4208400;841.8693400;8
BTCUSD;D;20140110;000000;839.9900000;857.3405600;817.0000000;857.3305600;8
BTCUSD;D;20140111;000000;858.2000000;918.0547100;857.1655400;899.8410500;19
BTCUSD;D;20140112;000000;899.9611400;900.9398900;833.0000100;860.0000000;25
BTCUSD;D;20140113;000000;847.3215200;859.9999900;815.0000000;835.0000000;26
BTCUSD;D;20140114;000000;835.0000000;877.2930000;805.0000000;831.0000000;32
BTCUSD;D;20140115;000000;831.0000000;864.0000000;828.0000000;850.0036400;7
BTCUSD;D;20140116;000000;853.0000000;865.0000000;824.0000000;826.9707700;29
BTCUSD;D;20140117;000000;824.1264000;835.0642700;788.0000000;804.0000000;26
BTCUSD;D;20140118;000000;812.9053800;844.1415900;807.7407400;819.5100000;19
BTCUSD;D;20140119;000000;819.5100000;848.9000000;819.5100000;835.0000000;12
BTCUSD;D;20140120;000000;843.9480400;855.0000000;830.1000000;843.7658900;4
BTCUSD;D;20140121;000000;840.0000000;845.9899900;820.1000000;829.0100000;7
BTCUSD;D;20140122;000000;829.0000000;834.5314400;821.0000000;830.8899900;2
BTCUSD;D;20140123;000000;822.4000000;830.8889900;821.0000000;830.8889700;12
BTCUSD;D;20140124;000000;830.8889700;835.4842700;783.0000000;803.0193500;25
BTCUSD;D;20140125;000000;803.0193600;830.0000000;795.0747800;812.0200000;10
BTCUSD;D;20140126;000000;818.0000000;840.0000000;813.0000000;826.7213900;7
BTCUSD;D;20140127;000000;826.7010200;840.0000000;780.0000000;780.0000000;36
BTCUSD;D;20140128;000000;780.0000000;830.0000000;775.0000000;815.9900000;16
BTCUSD;D;20140129;000000;815.9900000;826.2257100;795.0000000;795.0000000;19
BTCUSD;D;20140130;000000;802.4522000;815.2313500;787.0100000;808.0000000;27
BTCUSD;D;20140131;000000;808.0000000;812.6340900;801.0000000;812.1903700;13
BTCUSD;D;20140201;000000;807.3027400;835.0000000;803.4126100;825.0000000;6
BTCUSD;D;20140202;000000;828.9900000;835.0000000;814.8643100;814.8643100;7
BTCUSD;D;20140203;000000;814.8643100;819.8000000;803.6493100;819.7800000;7
BTCUSD;D;20140204;000000;808.0000000;819.7800000;799.5790000;802.4000000;11
BTCUSD;D;20140205;000000;802.4000000;815.8993400;802.4000000;802.5000000;17
BTCUSD;D;20140206;000000;802.5000000;803.7271300;767.6088400;767.6088400;34
BTCUSD;D;20140207;000000;775.2051000;775.2051000;666.3503900;714.1220600;65
BTCUSD;D;20140208;000000;711.4111800;730.0000000;680.0100000;699.3025500;31
BTCUSD;D;20140209;000000;692.3753500;756.0998000;684.8509800;689.0000000;38
BTCUSD;D;20140210;000000;686.8361300;748.0000000;550.0000000;690.2000000;30
BTCUSD;D;20140211;000000;690.2000000;720.0000000;660.0000000;714.5611100;33
BTCUSD;D;20140212;000000;709.9300000;709.9300000;651.3090100;670.6659000;18
BTCUSD;D;20140213;000000;671.0000000;680.0000000;595.6295000;623.9458200;45
BTCUSD;D;20140214;000000;629.0748300;710.0000000;586.4300000;670.3396400;42
BTCUSD;D;20140215;000000;667.0439400;682.7802800;646.8768900;659.2834000;12
